customer_id,customer_number,customer_name,address,postal_code,city,country,country_code,telephone
1,62-416-8660,"Gibson, Donnelly and Hermann",69 Oriole Junction,,Bader,Indonesia,ID,947-163-1866
2,07-552-1723,Shields and Sons,4 Dixon Park,378-0401,Sukagawa,Japan,JP,585-746-1078
3,06-167-7317,"Medhurst, Hagenes and Zemlak",9606 Cody Alley,64058 CEDEX 9,Pau,France,FR,202-322-8870
4,85-248-6379,Stroman Inc,0 Graedel Way,,Hongyanxi,China,CN,732-712-0771
5,89-900-1013,"Bechtelar, Boyle and Aufderhar",07637 Boyd Terrace,,Kigoma,Tanzania,TZ,198-811-8073
6,72-874-9816,"Hagenes, Dach and Waters",9453 Old Gate Circle,763568,Florida,Colombia,CO,668-232-3337
7,82-675-2054,"Harris, Ziemann and Gorczany",65026 Ridgeway Plaza,,Pinghu,China,CN,534-286-1675
8,66-978-0220,Hegmann-Schamberger,87570 5th Drive,75120,Sukhothai,Thailand,TH,258-821-3482
9,72-714-7929,"Casper, Bednar and Armstrong",75208 Chinook Avenue,4313,Brea Pozo,Argentina,AR,461-340-2077
10,25-906-7140,"Cummings, Purdy and Lind",6448 Autumn Leaf Terrace,18-301,Zambrów,Poland,PL,698-513-0354
11,29-142-8337,Mills-Rempel,1523 Crest Line Lane,8201,Vargas,Philippines,PH,847-274-3418
12,78-398-2946,"Spinka, Brakus and Corwin",9378 Bowman Plaza,589 00,Linköping,Sweden,SE,111-933-7553
13,99-530-7229,"Bailey, Nader and Blanda",37 Oakridge Center,,Ningdun,China,CN,892-644-9684
14,14-606-6863,"O'Conner, Sauer and McKenzie",992 Drewry Drive,,Yuchi,China,CN,619-880-1304
15,55-113-1963,Kunde Group,2277 Dapin Circle,,Molepolole,Botswana,BW,109-117-0935
16,84-492-5169,Klocko-Von,0 Iowa Hill,,Kebonagung,Indonesia,ID,807-730-9486
17,44-133-9065,Kshlerin-Glover,9775 Carpenter Court,97650-000,Itaqui,Brazil,BR,343-742-5409
18,47-147-4334,Beahan-Boehm,54442 Sachtjen Court,,Wanquan,China,CN,791-319-3545
19,51-124-3952,Schoen LLC,54 Merry Circle,37-560,Pruchnik,Poland,PL,320-472-9322
20,43-916-2823,Lebsack-Beahan,310 Katie Alley,,Jixing,China,CN,623-526-7229
21,20-662-6039,Heaney-Armstrong,5724 Monica Avenue,,Tiantai,China,CN,691-949-9222
22,13-988-2122,"Corkery, Kirlin and Streich",61 Sauthoff Terrace,,Tigarunggu,Indonesia,ID,734-922-6603
23,83-457-2419,Brekke-Witting,8970 Novick Plaza,,Harbin,China,CN,762-510-0423
24,98-663-8783,Zulauf-Mayert,2184 Heath Park,,Tiron,Indonesia,ID,586-680-1187
25,63-431-6128,Nienow Inc,03 Cordelia Lane,4234,Ambulong,Philippines,PH,882-982-0137
