order_id,order_number,order_date,customer_id,order_status,currency
1,228-75-0009,2/27/2019,25,CLOSED,EUR
2,200-40-7481,3/7/2019,14,CLOSED,PHP
3,632-01-9775,2/13/2019,4,OPEN,CNY
4,618-10-6504,2/17/2019,15,CLOSED,CNY
5,607-11-4769,4/4/2019,6,CANCELLED,CNY
6,163-37-2503,2/1/2019,18,CLOSED,UAH
7,299-20-5035,4/13/2019,24,OPEN,CNY
8,417-82-7075,1/10/2019,2,OPEN,PAB
9,774-53-3433,2/25/2019,19,CANCELLED,CNY
10,223-49-7411,1/21/2019,4,CLOSED,XCD
11,467-98-0779,1/3/2019,13,OPEN,CRC
12,331-36-1013,3/30/2019,8,OPEN,EUR
13,897-81-0755,2/3/2019,18,CANCELLED,CNY
14,208-05-1342,1/24/2019,11,CLOSED,CNY
15,131-77-9564,3/16/2019,11,CANCELLED,SEK
16,698-52-9393,1/13/2019,11,CLOSED,CNY
17,726-45-9767,2/23/2019,21,OPEN,JPY
18,538-51-6328,4/9/2019,15,OPEN,CZK
19,162-05-2237,3/4/2019,24,OPEN,CNY
20,441-40-7679,1/25/2019,17,CANCELLED,CVE
21,107-05-2829,3/5/2019,14,OPEN,IRR
22,342-13-5769,3/27/2019,5,OPEN,RUB
23,208-81-0749,1/22/2019,5,OPEN,DKK
24,744-54-9702,3/4/2019,1,CLOSED,IDR
